"rab.all"	"rab.win.bs"	"rab.win.ri"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"
"glycolysis III (from glucose)"	1.17702352297192	2.25159694439015	0.848506119084491	-1.24930195608696	1.30539026662452	-0.766895643857799	0.248222223610323	0.0294074714445814	0.0766376675964467	0.080186836692719	0.17347463266309
"L-ornithine de novo  biosynthesis"	1.32022738252508	2.46632821975139	1.03001442014775	-1.22153094593664	1.28321770672914	-0.724047143192712	0.259555556842695	0.0353404467788748	0.0766433297960717	0.0913390785684903	0.175437219342214
"L-arginine biosynthesis I (via L-ornithine)"	1.00838704754113	1.79909213645927	0.758464570715059	-1.06790072985431	1.46388098068425	-0.732004969891775	0.206444446287946	0.0267788649469713	0.0766376675964467	0.0399508432743727	0.172591127667541
"Calvin-Benson-Bassham cycle"	1.42661183443279	2.30590798723661	1.14693432546705	-1.17733549323909	1.17018915261789	-0.755592690983847	0.213333335090696	0.0270030016260939	0.0766376675964467	0.0424483751542575	0.172615754451739
"L-citrulline biosynthesis"	-3.74218448192679	-10.417726741842	-2.32293438217601	7.96033587024549	3.91728211150756	1.77945405050886	0.110666670736474	0.00156072342822519	0.0676382966572555	0.00392019744960921	0.133341923851869
"coenzyme A biosynthesis II (mammalian)"	0.609964020158178	0.627318747245626	0.604837907386522	-0.0760775577458723	1.30130612429154	-0.0503737786371875	0.46789602323858	0.459315303356324	0.563860192710216	0.859210160427807	0.908426894086835
"fatty acid &beta;-oxidation I"	2.55588095543012	3.578929105458	2.33857198130232	-1.19236417651057	1.40659950940128	-0.715754920372695	0.215333335066634	0.0260159660983485	0.0766376675964467	0.0465178116001645	0.172585067700074
"fatty acid elongation -- saturated"	1.78429891089563	1.96976117988305	1.25595842499307	-0.759442289615198	1.51602725335654	-0.234775987719639	0.304376806104523	0.750673926090589	0.797039090196577	0.178062155491567	0.263791018738207
"superpathway of fatty acid biosynthesis initiation (E. coli)"	-9.70367998001266	-10.3106734729043	-8.06592800035665	1.12482483206923	7.51829722382479	0.150730387469477	0.447233948231045	0.679369707015855	0.734588245828692	0.717260756890169	0.802346206278978
"gluconeogenesis I"	0.806756024591997	2.2149454885555	0.468713702112681	-1.35689647724719	1.39817735895316	-0.902465709337757	0.17351699856419	0.0139752118072872	0.0766376675964467	0.0194532291238174	0.172551585037148
"glucose and glucose-1-phosphate degradation"	-2.35872298688	-2.72044682270323	-1.98718984950789	0.70199396331721	4.59870686524296	0.170275330671175	0.429777778072573	0.143509131539532	0.197317798293925	0.654762032085561	0.767346722134247
"GABA shunt"	-1.10006365907255	-0.718957938866316	-1.23460187619458	-0.806791237857074	2.46347857271643	-0.188984090002985	0.358666667298792	0.732351858170233	0.782338227091369	0.348221678321678	0.481585123348847
"glyoxylate cycle"	2.18245272042537	3.38299230433581	1.8228177850409	-1.2617673943615	1.27574247164964	-0.793315094426052	0.243111112547401	0.0263592694794112	0.0766376675964467	0.0739265322912382	0.172969652704165
"heme biosynthesis I (aerobic)"	1.22959801223059	2.19922537097667	0.934020517824031	-1.17467083539253	1.19051662201444	-0.709768310696157	0.262830483373885	0.0378439855342747	0.0767156533767111	0.100066351295763	0.179340389456736
"L-methionine biosynthesis III"	0.171564874339526	0.249192873451071	0.164437335332728	-0.0249584209385167	1.37337590872524	-0.0154949575464854	0.49322372808831	0.599294284052914	0.676899840849743	0.927935746606335	0.954709264354388
"L-leucine degradation I"	0.392295483754429	0.777304835535406	0.123470478645967	-0.599686717994876	1.69654088077609	-0.198661549256822	0.351477450125731	0.813638733429755	0.847315476906079	0.310221102426985	0.434818893865704
"phospholipases"	-1.76739776460614	-6.30238912748161	-1.72370112679828	-0.0263057768914146	9.05585746891181	-0.00306422274537287	0.498333703628272	0.672566229348108	0.73190858999597	0.91354886877828	0.945707414036986
"pentose phosphate pathway (non-oxidative branch)"	1.96622346733991	3.12119085145116	1.55962752085481	-1.27496989227633	1.32104134136347	-0.793922954713275	0.236391914409988	0.0218698429761745	0.0766376675964467	0.0587554915672563	0.172679824570214
"formaldehyde assimilation III (dihydroxyacetone cycle)"	1.32560471504836	2.43696828436775	1.08621821809037	-1.24982131000987	1.22776553164073	-0.731309077457667	0.26549655755744	0.0375588662613973	0.0766880512595944	0.0988406417112299	0.177664830031066
"octane oxidation"	0.844682962103571	1.3481848338345	0.450642675951376	-1.28735379821806	1.80480595297376	-0.660469074962113	0.217285049476611	0.0351537376374899	0.0766592676432737	0.0518886466474702	0.172683480353163
"phosphopantothenate biosynthesis I"	1.54795294850035	2.66435533895317	1.22622977883998	-1.24231945919274	1.21179003604787	-0.814242956704593	0.202177295833396	0.0205841864773956	0.0766376675964467	0.0349092554504319	0.172510218031821
"pentose phosphate pathway"	1.3775376332895	2.52487862721606	1.11377384740084	-1.28092466022732	1.30391220484814	-0.698655203662726	0.276605199992797	0.0474933980778195	0.0817333870331239	0.118640929658577	0.190489668931149
"glycolysis IV (plant cytosol)"	1.21920964798126	2.18635872328036	0.933030056241907	-1.18103251155087	1.14524027498968	-0.750043625557385	0.233333334866958	0.0299811348263767	0.0766376675964467	0.0667663512957631	0.172916698978714
"trehalose degradation V"	-2.26349039617895	-2.49604290214361	-1.95654130480179	0.548344978163882	4.69220798928988	0.129151789995819	0.437333333595337	0.144388484431371	0.198334803849533	0.675958741258741	0.779462150173118
