"rab.all"	"rab.win.bs"	"rab.win.ro"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"
"glycolysis III (from glucose)"	1.91709182512936	2.24978158551118	1.63178606941316	-0.0633429006103734	1.77390317866084	-0.0361983753007898	0.48088888896765	0.871367985163529	0.949628670157552	0.912665322912382	0.964684490470506
"L-ornithine de novo  biosynthesis"	2.29860195512568	2.45619332835437	2.19674655654082	0.504893190889381	2.195287662424	0.253052903850349	0.389913353064214	0.512265897071055	0.859312748350921	0.471993665158371	0.767935177451981
"L-arginine biosynthesis I (via L-ornithine)"	0.59110139252943	1.81068587413919	-2.39187792915636	-4.49613400258857	4.40371311221997	-1.03171116240888	0.0664444516352816	0.0114079030454535	0.149741561996288	0.00109856026326615	0.0286628658106599
"Calvin-Benson-Bassham cycle"	2.39039321033251	2.29162955181948	2.43747751443178	0.673484383544827	2.08348967291078	0.356408483554513	0.350810931577892	0.342031919816138	0.823954168839021	0.310149691484986	0.753568125289132
"L-citrulline biosynthesis"	-11.081478864411	-10.5679187259799	-11.639671648171	-1.2309555094178	6.73106153904738	-0.171677899682621	0.421684070536867	0.516585408557234	0.858465047424057	0.54627478403949	0.815114575259845
"coenzyme A biosynthesis II (mammalian)"	1.90615486938364	0.621453056370879	2.39053579193139	1.57970933644859	2.2374730033218	0.861267744395829	0.184888891040035	0.0137783096667157	0.157927327863208	0.0251490333196216	0.20868441873436
"fatty acid &beta;-oxidation I"	2.72333154975751	3.577001063745	2.63929363851666	-0.712871302322232	1.64390649150559	-0.403953870886614	0.329482338052108	0.171119405849662	0.812399902634155	0.247633730974907	0.749583835696842
"fatty acid elongation -- saturated"	1.81497217893934	1.96926728871446	1.63213256997573	-0.403979031323633	3.00694666277521	-0.095087125658722	0.369695623769895	0.822800612012469	0.942155002659564	0.394037721102427	0.762288797390755
"superpathway of fatty acid biosynthesis initiation (E. coli)"	-10.8612594371747	-10.2566334925317	-11.5223273110031	-1.26140548142657	6.31863816470961	-0.186438888439492	0.409464563815381	0.492093214005048	0.844820213531345	0.513936363636364	0.796453968098316
"gluconeogenesis I"	1.01884488020837	2.20491435253681	-1.07413289465367	-2.5993379894781	3.07200502709032	-0.720125460832059	0.144856701459709	0.0372241010885971	0.287632503530766	0.00982389962978198	0.132598497957548
"glucose and glucose-1-phosphate degradation"	-2.47737973021294	-2.73119460369268	-2.42830590068425	-0.20290755271575	7.21248911335292	-0.033126790557663	0.465229949043962	0.738313013907515	0.923253882843127	0.806088687782805	0.916643071836711
"GABA shunt"	-1.81220824311444	-0.724091492124507	-2.15936110774215	-1.19309310063331	3.39542664612201	-0.240231621046501	0.32548322676723	0.719333886522946	0.917192329949213	0.239551953928425	0.752759864425983
"glyoxylate cycle"	3.17581616792204	3.37838409695547	3.12698026647044	0.421807799514729	2.0287456656524	0.224770648021851	0.418888889231701	0.631356295543415	0.900775171970594	0.591897161661867	0.811909195901937
"heme biosynthesis I (aerobic)"	2.30748929381188	2.18490109807111	2.37033413971773	0.780815697637234	2.16132638355126	0.384843047553352	0.353032660070725	0.288459493829056	0.823949780090383	0.322986960098725	0.753568125289132
"L-methionine biosynthesis III"	0.843124759806071	0.239384501507362	1.67235543715914	1.62427577829704	2.41224419599994	0.705995267956103	0.189555557634572	0.0290706033749611	0.238216679548199	0.0279171945701357	0.220911734006514
"L-leucine degradation I"	0.982690616804476	0.773484945763758	1.05159179099522	0.424423081963352	2.06925900681614	0.153201905420216	0.365777778373028	0.283281631559649	0.823955272096209	0.373074454956808	0.758726162259808
"phospholipases"	-2.64100007382394	-6.31205316844709	-2.03286729731254	-0.812137215491836	8.98298500216844	-0.0910937319354551	0.427555555860073	0.77192075544671	0.930353660310725	0.645454134101193	0.849081974216467
"pentose phosphate pathway (non-oxidative branch)"	2.72919696905742	3.12231319750382	2.57575970499964	0.332193298276706	2.01100863413093	0.174527553135643	0.423683626182327	0.791137579796426	0.930797771761082	0.668624598930481	0.844372629658107
"formaldehyde assimilation III (dihydroxyacetone cycle)"	2.37544237784061	2.42892010554329	2.3434171443618	0.661821638470248	2.1582931868584	0.316874266734051	0.368806932372484	0.400507230314584	0.829594224633848	0.371270423693953	0.754398885504114
"octane oxidation"	0.155021373783879	1.36178372707027	-1.48548997935836	-3.49717887113203	2.85031607046677	-1.14217484974993	0.0639857884240079	0.00679597738253458	0.115707682197084	0.000944631838749486	0.0281480588529118
"phosphopantothenate biosynthesis I"	2.51331361745591	2.65705437814335	2.41562949300984	0.458701701470912	2.06408534146966	0.240737758238063	0.392666667129705	0.538299805987079	0.863048018715387	0.474104895104895	0.769212446966051
"pentose phosphate pathway"	2.41993557858435	2.51861020489026	2.36157540272978	0.61255829330667	2.18846509715241	0.301372405402466	0.378222222754967	0.426853039517631	0.841316376907966	0.415950061703003	0.75739104823172
"glycolysis IV (plant cytosol)"	2.32105386979803	2.17406484784485	2.38620786448604	0.677390711893021	2.08204965279222	0.366204403618122	0.351777778446514	0.324237723537523	0.823949780090383	0.328715549156726	0.753604265442003
"trehalose degradation V"	-2.51831581951997	-2.55120845018834	-2.51102000687837	-0.290466287717535	7.23816569436478	-0.0419411943669286	0.451233059522675	0.747654277350256	0.924364438429771	0.732428753599342	0.884425848060087
"aerobic respiration I (cytochrome c)"	4.43395176844178	4.39250475826644	4.45664837246071	0.822597834681818	2.31415856325415	0.364307073475767	0.360000000625143	0.285011876586317	0.823949780090383	0.343710941999177	0.753568796466694
"L-glutamate degradation IV"	-1.49236177632367	-0.532903933658391	-1.77536350444961	-1.48256078394314	5.66886534408654	-0.251591891135258	0.305932016047623	0.434142531534418	0.853627841205748	0.188604113533525	0.74061982767572
"phytate degradation I"	-1.57541720628569	-1.94065501692012	-1.4940037209623	-0.473555522670455	8.31303594833253	-0.0522132913828365	0.461453010601631	0.764203495771628	0.9282952558772	0.798271616618675	0.911160963610586
"L-proline biosynthesis II (from arginine)"	2.44689429984481	2.78106416644637	2.24960167701125	0.311541518308019	2.17438847180128	0.1655346569919	0.42822222252382	0.708274172315844	0.920482288479255	0.645836692719046	0.834737614263754
"urea cycle"	2.46753763238933	2.6592613722051	2.32662468113875	0.421100163035218	2.14337493859133	0.21995542838432	0.412444444816153	0.554337834061081	0.868903416473352	0.537850596462361	0.790437936682171
"glycogen biosynthesis II (from UDP-D-Glucose)"	2.48299291297277	2.82954626660441	2.30250427520713	0.301523919783786	2.14670140218519	0.155634562679974	0.424666666983882	0.714567524343925	0.92131166013108	0.637146812011518	0.831109769128201
"NAD/NADH phosphorylation and dephosphorylation"	1.49363230530964	2.48867037369087	1.44606728708407	-0.395664660778213	1.67870190201638	-0.271700822752161	0.412444444816153	0.376642126008556	0.833890462711449	0.558697408473879	0.804696657834556
"sphingolipid biosynthesis (plants)"	2.35571140650889	2.43013617889711	2.30754255101592	0.60029525989819	2.04250020435703	0.272177646105503	0.380137747690399	0.408023707577423	0.832742207052014	0.431175606746195	0.762442468422627
"fatty acid &beta;-oxidation II (peroxisome)"	3.7171031567017	4.21694675048961	3.38222467606882	0.434485345835767	2.2457862488263	0.20797377997816	0.412444444816153	0.649103830450518	0.906287649494988	0.566808227067051	0.805034185161335
"unsaturated, even numbered fatty acid &beta;-oxidation"	3.38422270897567	3.57147289812873	3.25456926799747	0.531817663164158	2.1271024647658	0.273427179932116	0.389469007365376	0.534834218880733	0.862048266410925	0.482982640888523	0.770989067235875
"superpathway of acetyl-CoA biosynthesis"	2.86249805800847	3.38702721318262	2.63714503637499	0.244504646771309	2.17591665561856	0.119397582612573	0.451111111314242	0.793198423114707	0.930962058571086	0.743925627313862	0.884713136685925
"tetrapyrrole biosynthesis II (from glycine)"	2.21663308488853	2.18508877031875	2.23077637879634	0.62733906544916	2.112188390156	0.326102175364249	0.368362586673783	0.365764379253065	0.824172978608444	0.357810859728507	0.753788103013858
"superpathway of L-methionine salvage and degradation"	0.66749407304427	0.0978439148812482	1.47369187288173	1.60920884147051	2.42565862245513	0.713759387361941	0.183111113290642	0.026794345536863	0.23412892746762	0.0250917729329494	0.206999142410579
"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle"	-0.159725004451302	-0.274797790693685	0.357083269452468	0.525817208437234	6.30394587867271	0.0779758317983854	0.422572761934845	0.522886191939373	0.870290976253494	0.614425010283834	0.825724894519373
"UDP-N-acetyl-D-galactosamine biosynthesis II"	1.3379171871547	2.46597530532343	1.25196749285066	-0.555433571755419	1.71375372216657	-0.334687310704063	0.38000000052401	0.30265796046949	0.826755584017994	0.432452694364459	0.766668664106136
"superpathway of glyoxylate cycle and fatty acid degradation"	2.81758318246264	3.12467980086728	2.59259370933152	-0.0547566879355954	1.66730088454624	-0.0315973646000744	0.48766940684924	0.845494835429769	0.943533659077167	0.924520732208967	0.96803201624258
"L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde"	-2.30337254161773	-1.12311896162524	-2.58045979291916	-1.51570918281713	7.41624414544075	-0.233234007293314	0.272666667845986	0.325086842544132	0.826571653181805	0.122104319210202	0.627395799018641
"GDP-mannose biosynthesis"	2.76933444001348	2.67671152305332	2.81452279440609	0.721272530068245	2.14055551299855	0.365777896701542	0.359777778404083	0.326852263862727	0.823949780090383	0.343030275606746	0.753706225755784
"CDP-diacylglycerol biosynthesis I"	2.16657619523124	2.14388850514871	2.17640125786755	0.698907207058168	2.24144974349598	0.334741179378666	0.369473450920541	0.359655456616719	0.824046940665722	0.391556890168655	0.755800155729521
"TCA cycle II (plants and fungi)"	2.92006047423155	2.97409429054056	2.88855977247027	0.658167472822849	2.1779025980803	0.319970965269197	0.370806488016676	0.38939542112796	0.826842618179252	0.384267050596462	0.754709777201173
"urate biosynthesis/inosine 5'-phosphate degradation"	1.71021683199235	0.562990748265941	2.30676500411294	1.58575135656852	2.2583691351923	0.845901196364403	0.159742282100297	0.012707059799267	0.154282040632923	0.0151358288770053	0.157812269014529
"allantoin degradation to glyoxylate III"	-4.12064060795991	-6.258579051032	-3.96185205326005	-0.941166999525366	7.42834081051804	-0.116723181632473	0.420444444780337	0.715026789340828	0.914200022779384	0.608569600987248	0.834639681267752
"ubiquinol-9 biosynthesis (eukaryotic)"	-8.65045875014643	-9.26984642841727	-7.29524690806184	1.7033072875949	7.07761279558889	0.23280452568173	0.389555556033373	0.543851418903159	0.875415322641958	0.491928301110654	0.803856407762829
"ubiquinol-7 biosynthesis (eukaryotic)"	-8.66002030787329	-9.18378442472507	-7.34626499567849	1.5707814346166	6.99978145170497	0.207308298141301	0.392801600106718	0.543641024829731	0.875993201638153	0.500613368983957	0.803121127471521
"superpathway of heme biosynthesis from glycine"	2.26446626177405	2.19172982175199	2.29910702717934	0.714504376323351	2.15029986103088	0.355326429460783	0.360888889509395	0.325345203158673	0.823949780090383	0.339139654463184	0.75358330422784
"stearate biosynthesis II (bacteria and plants)"	-1.99919327596976	-1.44859538525377	-2.20306489578178	-0.613374080090389	7.85919245794447	-0.085474365288125	0.41324150225642	0.774162691903693	0.930913369601148	0.59157149321267	0.825578485960988
"palmitate biosynthesis I (animals and fungi)"	1.78544233137476	1.94252785510133	1.61400298853618	-0.395219774473257	3.21989196994115	-0.0859921656366764	0.3736947350584	0.822442903382738	0.942169121832444	0.400663965446318	0.76315145131761
"serotonin and melatonin biosynthesis"	-10.2320431150741	-8.39089578084335	-11.6782406164736	-3.84642942412553	6.3926340377763	-0.554373007909825	0.269940014530854	0.143776089923205	0.541783558869732	0.173970300287947	0.546645553123568
"5-aminoimidazole ribonucleotide biosynthesis I"	-0.349487325777894	0.727520264318475	-4.55327522899194	-5.60764360826637	4.55428477852477	-1.26596744191949	0.0308820423354484	0.00396146081604618	0.101228688327075	0.000217235705471	0.0220153520009402
"superpathway of adenosine nucleotides de novo biosynthesis II"	2.74481069138897	2.68602533486342	2.77509394109939	0.812746322555989	2.23422294056879	0.373574924943587	0.353032660070725	0.285334172581108	0.823949780090383	0.335241299876594	0.753568125289132
"sucrose degradation III (sucrose invertase)"	-1.18266558284541	-1.20651038148406	-1.1777670158868	-0.197465108823702	8.41140313714499	-0.0249849866304585	0.466562986141268	0.733146202581931	0.922436587136026	0.812285067873303	0.919064896554034
"putrescine biosynthesis IV"	2.10681614068856	2.55093512526357	2.03156100821237	-0.0911929542271048	1.62443462684456	-0.0562787201146319	0.481448567061529	0.676296289234161	0.921448194549231	0.934165034965035	0.972231103731208
"L-tryptophan degradation X (mammalian, via tryptamine)"	2.50696489688136	3.33996873799863	1.66585777444898	-1.7146944947903	1.50803060748148	-1.10779057574667	0.0857777832120382	0.00324829041456158	0.0970476161121697	0.0021538050185109	0.0398028033730975
"L-tryptophan degradation XI (mammalian, via kynurenine)"	-3.55334581258466	-6.38694827909569	-3.37765328725597	-1.03930719324232	8.12969922190422	-0.120445361167312	0.416796267848109	0.749079294850322	0.924957784804942	0.599569559851913	0.832198888659753
"serotonin degradation"	2.74013184265285	3.69914294468272	1.25186636477739	-2.35352393359191	1.73821850521742	-1.39143571818913	0.0633192699575526	0.000745666965776062	0.0834413904370638	0.000934306869600987	0.0276883177117001
