"rab.all"	"rab.win.ri"	"rab.win.ro"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"
"glycolysis III (from glucose)"	1.19053194564204	0.849622289062811	2.24148441334435	1.23676587870141	1.26154360139383	0.781692273867969	0.248389248219976	0.0292650935521242	0.0764159069515363	0.0790312628547923	0.172091514288441
"L-ornithine de novo  biosynthesis"	1.32949139880493	1.03080925261999	2.45558777429364	1.21121804511929	1.30160160229962	0.733937613143279	0.256609643613772	0.0353206495716774	0.0764187906695596	0.091052036199095	0.174162655659412
"L-arginine biosynthesis I (via L-ornithine)"	1.00292259426036	0.758899432379008	1.80218935660776	1.08773304964719	1.4690051982601	0.71187634613201	0.208842481261131	0.0267884148152434	0.0764159069515363	0.03936178527355	0.171245164419745
"Calvin-Benson-Bassham cycle"	1.43272916397397	1.14696371778972	2.29090081395784	1.16702323607644	1.17480063891888	0.751412689208126	0.209953345499579	0.0268035254549275	0.0764159069515363	0.0422905388728918	0.171249017251922
"L-citrulline biosynthesis"	-3.74436962307504	-2.32510676998135	-10.4898538988749	-7.98888752441416	4.00131089334979	-1.73458621003126	0.110864256447948	0.00148787603619081	0.0672726142032651	0.00391896338955162	0.131032742286139
"coenzyme A biosynthesis II (mammalian)"	0.609447195176131	0.604915175645047	0.631605275709246	0.0690016244045286	1.31070309773992	0.0428532629708516	0.472000000115589	0.461693327623985	0.566876726241614	0.855981735911148	0.906040417353036
"fatty acid &beta;-oxidation I"	2.55580050093676	2.3390170028901	3.56817390783882	1.20545429436102	1.37545552184233	0.747003961922656	0.219111112800053	0.0259067071238564	0.0764159069515363	0.0460027149321267	0.171258189523151
"fatty acid elongation -- saturated"	1.7840889415391	1.25825383130784	1.96752444388946	0.7832913339104	1.51879767681937	0.230782622660637	0.304222223173781	0.757186625792126	0.802912449875919	0.17854385026738	0.264555945567384
"superpathway of fatty acid biosynthesis initiation (E. coli)"	-9.66152336529547	-8.02784296255947	-10.2243999581209	-1.15728645274838	7.58767307668286	-0.145621941993234	0.445678738284323	0.681429175812518	0.736095010334143	0.728871904566022	0.808131404100112
"gluconeogenesis I"	0.806086967164717	0.467105198972376	2.20917298096207	1.36908883768439	1.42175748872716	0.885200031099416	0.172183961485268	0.0138333503723065	0.0764159069515363	0.0192210201563143	0.171186683735666
"glucose and glucose-1-phosphate degradation"	-2.35287690604209	-1.99328053556727	-2.72218388025681	-0.673711518616602	4.57080552210457	-0.155857825654868	0.431777778063853	0.143603483094352	0.19732772704021	0.655997120526532	0.76903022179556
"GABA shunt"	-1.09975250241091	-1.24106553925209	-0.725666822374293	0.859329713578319	2.46032339249078	0.194581041066359	0.357253944207372	0.723379715212767	0.776467198495299	0.348464294529	0.481567028124513
"glyoxylate cycle"	2.19149855690813	1.8233564683524	3.37943190240588	1.27182051168575	1.30970531245615	0.774658439699973	0.248611421068401	0.0263429357146589	0.0764159069515363	0.0739887289181407	0.171567038457859
"heme biosynthesis I (aerobic)"	1.24459044203446	0.933948991002156	2.1879646121675	1.17665819210712	1.20390782873403	0.71688121661538	0.26377777902921	0.0376957227633734	0.0764921237000454	0.0996775812422871	0.17775177313129
"L-methionine biosynthesis III"	0.170532530767294	0.164682151771278	0.260696073767162	0.0393353469574604	1.37889582613699	0.0232595100511	0.490666666705089	0.598500783357368	0.676725952957579	0.927674742904155	0.954312204731483
"L-leucine degradation I"	0.391364673090821	0.124134141868001	0.771287965022475	0.598793852527672	1.70090211925944	0.202926555351948	0.352666667330627	0.805643751453064	0.841748879748616	0.312186260798025	0.437270264065334
"phospholipases"	-1.76812438354501	-1.72532152635746	-6.38401192151319	0.0222412800909644	8.99969210312301	0.0027924051441326	0.498000000008231	0.6781778445062	0.737119088949055	0.913043397778692	0.945063164218666
