#OTU ID	1.2RO	1.8RO	2.10RO	2.14RO	2.3RO	2.7RO	3.14RO	3.7RO	4.12RO	4.16RO	4.1RO	5.14RO	5.8RO	6.13RO	7.1RO	7.23RO	7.9RO	1.8RI	2.10RI	2.11RI	2.13RI	2.14RI	2.3RI	3.10RI	3.13RI	3.14RI	3.4RI	4.12RI	4.1RI	5.14RI	5.8RI	6.13RI	7.1RI	7.9RI	1.2NR	1.8NR	2.10NR	2.11NR	2.15RI	2.3NR	2.7NR	3.10NR	3.16RI	3.4NR	3.7NR	4.12NR	4.16RI	4.1NR	5.8NR	6.16RI	7.1NR	7.9NR	2.14NR	2.15NR	2.15RO	2.16NR	2.16RO	3.14NR	3.16NR	3.16RO	4.16NR	4.18NR	5.14NR	6.16NR	7.23NR	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
588a0e16a32970569d10c88aaa93f050	173.0	98.0	0.0	0.0	72.0	65.0	482.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	3271.0	4668.0	8314.0	6264.0	17942.0	549.0	7617.0	4787.0	5448.0	6278.0	7343.0	1654.0	5813.0	5586.0	8354.0	4673.0	2664.0	744.0	746.0	1143.0	1245.0	695.0	1262.0	1059.0	735.0	725.0	952.0	1842.0	534.0	716.0	749.0	906.0	765.0	931.0	712.0	713.0	1147.0	129.0	1350.0	281.0	1430.0	874.0	376.0	1117.0	1313.0	846.0	830.0	1017.0	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium	Fusarium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph	Microfungus	NULL	Possible	Likely opportunistic human pathogen (Irinyi et al. 2015)	b'Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664 ((https://doi.org/10.2307/3757045)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Schroers, et al. 2016. Mycologia 108:806-819 ((https://doi.org/10.3852/15-255)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))'
81979356618c524328e9a9fc41c30906	133.0	1260.0	775.0	4095.0	339.0	2100.0	169.0	452.0	255.0	1450.0	239.0	803.0	183.0	339.0	262.0	906.0	1828.0	1485.0	44.0	0.0	98.0	187.0	888.0	118.0	37.0	60.0	2975.0	48.0	3014.0	104.0	446.0	0.0	767.0	38.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	197.0	0.0	0.0	0.0	77.0	0.0	0.0	40.0	0.0	0.0	84.0	35.0	469.0	0.0	569.0	0.0	0.0	305.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Chytridiomycota; c__Chytridiomycetes	-	-	-	-	-	-	-	Unassigned	-
361b8a6304966bb8a50c6e76b35edfea	0.0	0.0	0.0	249.0	0.0	0.0	211.0	0.0	0.0	126.0	147.0	295.0	120.0	15314.0	10.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	228.0	0.0	0.0	0.0	235.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Cystofilobasidiales; f__Cystofilobasidiaceae; g__Cystofilobasidium	Cystofilobasidium	13	Saprotroph	Leaf Saprotroph	Yeast	NULL	Possible	NULL	b'Oberwinkler F, et al. 1983. Systematic and Applied Microbiology 41:14-122 ((https://doi.org/10.1016/S0723-2020((83))80039-3))'
ab657f069eebbddfa32f5fd2609e4b24	132.0	49.0	30.0	39.0	161.0	50.0	57.0	468.0	0.0	814.0	4147.0	57.0	420.0	190.0	489.0	0.0	92.0	0.0	66.0	0.0	0.0	619.0	0.0	0.0	0.0	465.0	1527.0	61.0	2353.0	312.0	0.0	0.0	82.0	80.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Cladosporiaceae; g__Cladosporium; s__Cladosporium_herbarum	-	-	-	-	-	-	-	Unassigned	-
49320eac1575e8817c446d673ef7becc	31.0	19.0	7.0	7.0	54.0	35.0	0.0	55.0	4.0	6.0	3629.0	0.0	302.0	35.0	341.0	0.0	66.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	2268.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Mucoromycota; c__Incertae_Sedis; o__Mucorales; f__Mucoraceae; g__Mucor	-	-	-	-	-	-	-	Unassigned	-
00599b5feb4c3097e3bcb07025ba584f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	974.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	31.0	44.0	1959.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Cystofilobasidiales; f__Mrakiaceae	-	-	-	-	-	-	-	Unassigned	-
df8e51cea1a3de41ef9a1cd5d6c65a73	32.0	234.0	60.0	65.0	48.0	25.0	60.0	132.0	120.0	0.0	37.0	89.0	57.0	87.0	0.0	66.0	56.0	129.0	0.0	0.0	0.0	0.0	138.0	74.0	38.0	0.0	40.0	69.0	627.0	90.0	337.0	58.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	0.0	39.0	0.0	0.0	83.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Chytridiomycota; c__Chytridiomycetes; o__Spizellomycetales	-	-	-	-	-	-	-	Unassigned	-
5b79937947e7c6731c4ca6d946399016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	244.0	0.0	146.0	709.0	179.0	225.0	0.0	158.0	0.0	125.0	0.0	253.0	0.0	170.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	144.0	0.0	0.0	239.0	0.0	0.0	253.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales	-	-	-	-	-	-	-	Unassigned	-
0147e304b1ce1be9c4ff15b660605ef2	0.0	164.0	399.0	143.0	87.0	0.0	161.0	0.0	36.0	60.0	0.0	921.0	0.0	161.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	662.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Ascomycota; c__Sordariomycetes	-	-	-	-	-	-	-	Unassigned	-
237f96ecb63793ccf5e5f673e7a6ebd4	91.0	0.0	0.0	0.0	67.0	0.0	50.0	20.0	0.0	0.0	29.0	0.0	42.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	52.0	552.0	0.0	100.0	255.0	98.0	152.0	0.0	0.0	62.0	0.0	68.0	33.0	0.0	0.0	0.0	56.0	0.0	65.0	0.0	0.0	0.0	91.0	0.0	0.0	0.0	0.0	118.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium	-	-	-	-	-	-	-	Unassigned	-
