SampleID	Type_of_soil	Loc	Treatment	Plot	Code	Description	raices	hojas	Arbus_per
2.14RO	Roots	2	2	2	14	RO_L2_P2_T2_C14_2	5.322508731515198	41.666047410269755	70
3.10RO	Roots	3	2	3	10	RO_L3_P3_T2_C10_2	4.250876577275639	56.4435193252909	70
1.8RO	Roots	1	3	1	8	RO_L1_P1_T3_C8_2	9.556364717247531	87.2744008994	28.57
4.1RO	Roots	4	1	3	1	RO_L4_P3_T1_C1_2	21.814386170524465	29.400312105224057	70
2.10RO	Roots	2	3	2	10	RO_L2_P2_T3_C10_2	8.029592733665398	53.20948205394962	62.5
1.2RO	Roots	1	3	2	2	RO_L1_P2_T3_C2_2	9.801590250427289	52.808203908746385	40
3.7RO	Roots	3	1	2	7	RO_L3_P2_T1_C7_2	22.04057367912611	69.08672066582447	44.44
7.9RO	Roots	7	2	1	9	RO_L7_P1_T2_C9_2	6.208797245824787	32.343018503381145	70
4.12RO	Roots	4	1	2	12	RO_L4_P2_T1_C12_2	23.499121007910926	56.26811324960986	85.71
7.23RO	Roots	7	2	3	23	RO_L7_P3_T2_C23_2	3.484226975290556	66.45166084565655	83.33
4.18RO	Roots	4	1	3	18	RO_L4_P3_T1_C18_2	6.1146108018361165	27.52768076094226	60
5.14RO	Roots	5	3	2	14	RO_L5_P2_T3_C14_2	8.88416837581795	79.11867429590546	70
2.13RO	Roots	2	3	3	13	RO_L2_P3_T3_C13_2	6.636390272487547	56.140723362243776	50
5.8RO	Roots	5	3	3	8	RO_L5_P3_T3_C8_2	6.260545379229518	49.731738128854886	80
3.13RO	Roots	3	1	1	13	RO_L3_P1_T1_C13_2	49.792460201191524	35.342201084937216	33.33
2.11RO	Roots	2	1	2	11	RO_L2_P2_T1_C11_2	3.4288016407852324	55.48339154343466	50
2.3RO	Roots	2	3	1	3	RO_L2_P1_T3_C3_2	14.000148621535264	62.840157538827384	50
6.16RO	Roots	6	1	1	16	RO_L6_P1_T1_C16_2	7.332991503076473	42.669242773277844	25
4.16RO	Roots	4	2	1	16	RO_L4_P1_T2_C16_2	3.8713633058783956	44.55750833100911	80
2.7RO	Roots	2	2	1	7	RO_L2_P1_T2_C7_2	7.332991503076473	52.47826410046815	80
3.4RO	Roots	3	3	3	4	RO_L3_P3_T3_C4_2	9.24131995312042	65.74273612246414	90
2.16RO	Roots	2	2	3	16	RO_L2_P3_T2_C16_2	4.23746094710056	62.956082336330525	80
2.15RO	Roots	2	2	2	15	RO_L2_P2_T2_C15_2	5.322508731515198	27.126402615739025	62.5
3.14RO	Roots	3	3	1	14	RO_L3_P1_T3_C14_2	31.451215939056542	94.94240915508658	40
3.16RO	Roots	3	2	2	16	RO_L3_P2_T2_C16_2	7.332991503076473	36.92125399929355	25
6.13RO	Roots	6	1	3	13	RO_L6_P3_T1_C13_2	3.9049223556987984	37.43033365534665	90
7.1RO	Roots	7	1	1	1	RO_L7_P1_T1_C1_2	9.236345926940713	39.65965668425355	50
