#OTU ID	1.2RO	1.8RO	2.10RO	2.14RO	2.3RO	2.7RO	3.14RO	3.7RO	4.12RO	4.16RO	4.1RO	5.14RO	5.8RO	6.13RO	7.1RO	7.23RO	7.9RO	1.8RI	2.10RI	2.11RI	2.13RI	2.14RI	2.3RI	3.10RI	3.13RI	3.14RI	3.4RI	4.12RI	4.1RI	5.14RI	5.8RI	6.13RI	7.1RI	7.9RI	1.2NR	1.8NR	2.10NR	2.11NR	2.15RI	2.3NR	2.7NR	3.10NR	3.16RI	3.4NR	3.7NR	4.12NR	4.16RI	4.1NR	5.8NR	6.16RI	7.1NR	7.9NR	2.14NR	2.15NR	2.15RO	2.16NR	2.16RO	3.14NR	3.16NR	3.16RO	4.16NR	4.18NR	5.14NR	6.16NR	7.23NR	taxonomy
ANAGLYCOLYSIS-PWY	307	385	526	711	356	206	1732	566	21	1649	3723	799	1055	8822	518	143	292	1091	1171	745	753	3182	2613	1073	741	1277	4093	1096	3182	1128	1163	947	994	415	56	55	151	173	84	300	81	52	159	212	326	46	110	1166	218	91	836	57	233	152	100	106	133	270	93	125	81	157	60	59	72	glycolysis III (from glucose)
ARGININE-SYN4-PWY	335	1011	892	2418	493	1217	1594	671	270	1918	4257	1320	1039	8423	601	506	1116	1705	1262	856	835	3519	3435	1201	816	1340	4700	1204	4525	1232	1382	1072	1215	461	66	64	169	182	99	318	94	60	207	244	354	53	126	1244	258	105	1023	66	265	164	311	123	360	312	108	234	94	177	69	68	83	L-ornithine de novo  biosynthesis
ARGSYN-PWY	102	73	0	0	52	47	319	64	0	40	0	0	0	0	0	0	48	1030	1049	902	838	3233	396	1152	761	1166	2569	1146	1039	1120	1145	1082	995	430	72	70	166	178	96	273	103	67	161	205	329	57	116	419	210	103	451	72	211	160	72	134	126	271	108	128	104	174	77	76	93	L-arginine biosynthesis I (via L-ornithine)
CALVIN-PWY	482	1104	1115	2517	651	1247	2209	855	290	2331	5546	1705	1401	9452	759	517	1160	1654	1471	795	870	3835	4576	1234	853	1683	5384	1316	5249	1401	1389	1089	1237	479	58	56	184	215	89	400	84	53	193	309	397	47	116	1546	349	95	1190	60	289	173	315	110	351	338	97	223	83	172	62	60	74	Calvin-Benson-Bassham cycle
CITRULBIO-PWY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	94	0	186	133	422	0	146	98	140	0	168	0	189	140	218	85	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	L-citrulline biosynthesis
COA-PWY-1	382	1151	1033	2766	571	1383	1785	761	310	2177	4868	1538	1195	9648	687	578	1268	1668	1066	264	448	2590	3997	760	558	1127	4814	803	5008	942	1135	541	1019	317	8	4	101	110	57	272	12	0	177	212	259	14	86	1345	231	57	1088	13	226	97	344	20	386	248	51	235	4	96	0	0	0	coenzyme A biosynthesis II (mammalian)
FAO-PWY	845	373	751	633	810	267	4309	1276	52	3587	8877	1049	2282	17106	1137	103	429	1756	2957	2700	2393	8849	5565	3068	2134	3804	9684	3246	6365	3308	2753	3084	2360	1224	217	215	447	563	236	821	310	209	313	652	824	162	273	2086	726	267	1243	224	515	458	137	398	152	715	325	184	321	533	241	236	290	fatty acid &beta;-oxidation I
FASYN-ELONG-PWY	2099	239	526	178	1742	49	2156	901	35	1178	4323	903	1507	3090	421	0	115	87	854	158	1466	3094	13501	396	2377	6242	4790	3772	2305	758	1742	429	1834	913	0	0	99	1208	0	1526	0	0	0	1918	231	0	0	729	2415	0	462	18	124	577	24	0	0	1178	0	0	0	32	0	0	0	fatty acid elongation -- saturated
FASYN-INITIAL-PWY	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	7	107	0	0	7	30	0	25	22	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	superpathway of fatty acid biosynthesis initiation (E. coli)
GLUCONEO-PWY	76	373	608	406	230	33	628	44	87	239	0	1119	0	608	0	0	33	730	994	718	728	2935	2018	1009	647	1107	2050	1006	728	1024	921	920	788	356	55	53	150	163	72	284	79	51	122	188	321	43	90	806	195	79	708	56	177	138	44	102	85	233	86	75	79	143	59	58	71	gluconeogenesis I
